"RT","SSD"
0.42305,-1
0.4579,-1
0.33364,-1
0.27111,-1
0.30871,-1
0.30432,-1
0.296,0.25
-1,0.25
-1,0.2
0.39872,-1
0.36823,-1
0.36278,-1
0.44768,-1
0.38756,-1
0.43365,-1
-1,0.3
0.465,0.35
0.34665,-1
0.25247,-1
0.45338,-1
0.27371,-1
0.38891,-1
0.32877,-1
0.335,0.25
0.284,0.2
0.345,0.3
0.45474,-1
0.27567,-1
0.30815,-1
0.38673,-1
0.27603,-1
0.29974,-1
0.44174,-1
-1,0.15
0.46839,-1
0.41222,-1
0.3874,-1
0.42525,-1
0.31,0.25
0.44668,-1
0.3582,-1
0.45335,-1
0.30927,-1
0.33203,-1
0.37499,-1
0.27619,-1
-1,0.2
-1,0.2
-1,0.25
0.36465,-1
0.29049,-1
0.3032,-1
0.34471,-1
0.341,0.25
0.41471,-1
0.34993,-1
0.35595,-1
-1,0.2
0.403,0.3
0.46978,-1
0.43019,-1
0.33256,-1
0.37806,-1
0.37601,-1
0.48186,-1
0.42692,-1
0.46016,-1
0.39,0.25
0.349,0.25
0.46131,-1
0.48942,-1
0.34735,-1
0.45173,-1
0.39331,-1
0.24201,-1
0.29,0.2
0.42268,-1
-1,0.2
0.41529,-1
0.308,0.25
0.33582,-1
-1,0.15
0.29101,-1
0.32844,-1
0.33789,-1
0.38041,-1
0.37577,-1
0.43786,-1
0.482,0.2
0.59672,-1
0.37994,-1
0.50562,-1
0.36848,-1
0.305,0.2
0.40017,-1
0.41282,-1
0.36346,-1
0.305,0.15
-1,0.15
0.38484,-1
0.35818,-1
0.31614,-1
0.346,0.2
-1,0.1
0.2905,-1
0.28102,-1
0.34758,-1
0.40418,-1
0.38201,-1
0.42831,-1
0.42998,-1
-1,0.15
0.49046,-1
0.409,0.15
0.40863,-1
0.42343,-1
0.34283,-1
0.28958,-1
0.38288,-1
0.46768,-1
0.29284,-1
0.27644,-1
0.98539,-1
0.298,0.2
0.3,0.1
0.44959,-1
